Code,License Type,Indicator Name,Long definition
KWT,State of Kuwait,High income,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific
LVA,Republic of Latvia,High income,Europe & Central Asia
LBN,Lebanese Republic,Lower middle income,Middle East & North Africa
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa
LBR,Republic of Liberia,Low income,Sub-Saharan Africa
LBY,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa
LIE,Principality of Liechtenstein,High income,Europe & Central Asia
LTU,Republic of Lithuania,High income,Europe & Central Asia
LUX,Grand Duchy of Luxembourg,High income,Europe & Central Asia
MAC,Macao Special Administrative Region of the People's Republic of China,High income,East Asia & Pacific
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa
MWI,Republic of Malawi,Low income,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,East Asia & Pacific
MDV,Republic of Maldives,Upper middle income,South Asia
MLI,Republic of Mali,Low income,Sub-Saharan Africa
MLT,Republic of Malta,High income,Middle East & North Africa
MHL,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa
MEX,United Mexican States,Upper middle income,Latin America & Caribbean
FSM,Federated States of Micronesia,Lower middle income,East Asia & Pacific
MDA,Republic of Moldova,Upper middle income,Europe & Central Asia
MCO,Principality of Monaco,High income,Europe & Central Asia
MNG,Mongolia,Upper middle income,East Asia & Pacific
MNE,Montenegro,Upper middle income,Europe & Central Asia
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa
MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific
NAM,Republic of Namibia,Lower middle income,Sub-Saharan Africa
NRU,Republic of Nauru,High income,East Asia & Pacific
NPL,Nepal,Lower middle income,South Asia
NLD,Kingdom of the Netherlands,High income,Europe & Central Asia
NCL,New Caledonia,High income,East Asia & Pacific
NZL,New Zealand,High income,East Asia & Pacific
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean
NER,Republic of Niger,Low income,Sub-Saharan Africa
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa
MKD,Republic of North Macedonia,Upper middle income,Europe & Central Asia
MNP,Commonwealth of the Northern Mariana Islands,High income,East Asia & Pacific
NOR,Kingdom of Norway,High income,Europe & Central Asia
OMN,Sultanate of Oman,High income,Middle East & North Africa
PAK,Islamic Republic of Pakistan,Lower middle income,Middle East & North Africa
PLW,Republic of Palau,High income,East Asia & Pacific
PAN,Republic of Panama,High income,Latin America & Caribbean
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific
PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean
PER,Republic of Peru,Upper middle income,Latin America & Caribbean
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific
POL,Republic of Poland,High income,Europe & Central Asia
PRT,Portuguese Republic,High income,Europe & Central Asia
PRI,Puerto Rico (US),High income,Latin America & Caribbean
QAT,State of Qatar,High income,Middle East & North Africa
ROU,Romania,High income,Europe & Central Asia
RUS,Russian Federation,High income,Europe & Central Asia
RWA,Republic of Rwanda,Low income,Sub-Saharan Africa
WSM,Independent State of Samoa,Upper middle income,East Asia & Pacific
SMR,Republic of San Marino,High income,Europe & Central Asia
STP,Democratic Republic of São Tomé and Principe,Lower middle income,Sub-Saharan Africa
SAU,Kingdom of Saudi Arabia,High income,Middle East & North Africa
SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa
SRB,Republic of Serbia,Upper middle income,Europe & Central Asia
SYC,Republic of Seychelles,High income,Sub-Saharan Africa
SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa
SGP,Republic of Singapore,High income,East Asia & Pacific
SXM,Sint Maarten (Dutch part),High income,Latin America & Caribbean
SVK,Slovak Republic,High income,Europe & Central Asia
SVN,Republic of Slovenia,High income,Europe & Central Asia
SLB,Solomon Islands,Lower middle income,East Asia & Pacific
SOM,Federal Republic of Somalia,Low income,Sub-Saharan Africa
ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa
SSD,Republic of South Sudan,Low income,Sub-Saharan Africa
ESP,Kingdom of Spain,High income,Europe & Central Asia
LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia
KNA,St. Kitts and Nevis,High income,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,Latin America & Caribbean
MAF,St. Martin (French part),High income,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean
SDN,Republic of the Sudan,Low income,Sub-Saharan Africa
SUR,Republic of Suriname,Upper middle income,Latin America & Caribbean
SWE,Kingdom of Sweden,High income,Europe & Central Asia
CHE,Switzerland,High income,Europe & Central Asia
SYR,Syrian Arab Republic,Low income,Middle East & North Africa
TJK,Republic of Tajikistan,Lower middle income,Europe & Central Asia
TZA,United Republic of Tanzania,Lower middle income,Sub-Saharan Africa
THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific
TLS,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific
TGO,Republic of Togo,Low income,Sub-Saharan Africa
TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific
TTO,Republic of Trinidad and Tobago,High income,Latin America & Caribbean
TUN,Republic of Tunisia,Lower middle income,Middle East & North Africa
TUR,Republic of Türkiye,Upper middle income,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,Europe & Central Asia
TCA,Turks and Caicos Islands,High income,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,East Asia & Pacific
UGA,Republic of Uganda,Low income,Sub-Saharan Africa
UKR,Ukraine,Upper middle income,Europe & Central Asia
ARE,United Arab Emirates,High income,Middle East & North Africa
GBR,United Kingdom of Great Britain and Northern Ireland,High income,Europe & Central Asia
USA,United States of America,High income,North America
URY,Oriental Republic of Uruguay,High income,Latin America & Caribbean
UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia
VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific
VEN,República Bolivariana de Venezuela,,Latin America & Caribbean
VNM,Socialist Republic of Viet Nam,Lower middle income,East Asia & Pacific
VIR,Virgin Islands of the United States,High income,Latin America & Caribbean
PSE,West Bank and Gaza,Lower middle income,Middle East & North Africa
YEM,Republic of Yemen,Low income,Middle East & North Africa
ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa
ZWE,Republic of Zimbabwe,Lower middle income,Sub-Saharan Africa
