Country Name,Country Code,Income Group,Finance_Investment,Technology_Innovation,Economic_Growth_Stability,Talent_Productivity
Brunei Darussalam,BRN,High income,0.502651041124993,0.6274471211744846,0.47260976903838026,0.40747623127535254
Bulgaria,BGR,High income,0.41017534462364114,0.7052507776143552,0.39740967891906936,0.56794689990071
Burkina Faso,BFA,Low income,0.4047861975809132,0.12201535120585624,0.4179050256979363,0.21800802670022693
Burundi,BDI,Low income,0.4290733892178446,0.09210372275647077,0.42391939335214746,0.14423588325888476
Cabo Verde,CPV,Upper middle income,0.5036366802016433,0.45802724365418657,0.45163443682288895,0.3054454986981358
Cambodia,KHM,Lower middle income,0.5711417260684711,0.37026976073602713,0.4919419466303447,0.2610039740654064
Cameroon,CMR,Lower middle income,0.38076861834304615,0.2182940952152402,0.4113108588303246,0.2920503132303597
Canada,CAN,High income,0.5999986442506337,0.8207283848846716,0.41980595845900703,0.6367436631954384
Cayman Islands,CYM,High income,0.6350834413051824,0.781459033403517,0.42919564071971533,0.7000768475567253
Central African Republic,CAF,Low income,0.3573130636174546,0.0691979966114825,0.3939797595791679,0.30775548856930257
Chad,TCD,Low income,0.3353454045703603,0.06666121742578453,0.41480857522825315,0.21230315026529434
Channel Islands,CHI,High income,0.5683913959092327,0.7839356552677477,0.431333702547066,0.6431057521013365
Chile,CHL,High income,0.5952254628352185,0.6482754343298376,0.4379171735782216,0.5898342316328573
China,CHN,Upper middle income,0.6570185960390017,0.7763130331640121,0.5426073346055819,0.6620068202482965
Colombia,COL,Upper middle income,0.4307190710582977,0.4928347008443052,0.4178702488955998,0.532833544711026
Comoros,COM,Lower middle income,0.39213492452388515,0.1521557034807942,0.37386565676878547,0.2822817624062747
"Congo, Dem. Rep.",COD,Low income,0.3505972757440425,0.10183695245466298,0.4918263792893536,0.14005271632627686
"Congo, Rep.",COG,Lower middle income,0.38066932428766237,0.2176356506119378,0.4546728047324534,0.2462610143805437
Costa Rica,CRI,High income,0.39042594369957445,0.5667697159489875,0.3995656436013183,0.5857267732686874
Cote d'Ivoire,CIV,Lower middle income,0.4130523677633624,0.1624071803282336,0.4371293718877878,0.30253589320209656
Croatia,HRV,High income,0.47061793777067545,0.7201123292693841,0.4504916250508195,0.5801732913741887
Cuba,CUB,Upper middle income,0.49504971041569495,0.3652908396582251,0.3746449089189405,0.48675038255357833
Curacao,CUW,High income,0.5738084484993574,0.6477789527825881,0.5075165002716764,0.6431057521013365
Cyprus,CYP,High income,0.45678808765655976,0.7524623951177988,0.4207814877489372,0.6273272326918871
Czechia,CZE,High income,0.4240880688278413,0.7968599907794407,0.44321676535142973,0.6757960024865242
Denmark,DNK,High income,0.6388219300745198,0.9087677055364918,0.43446241459608903,0.6619950133204895
Djibouti,DJI,Lower middle income,0.41263063066427624,0.2906812748157881,0.4544401904368449,0.38008651019563056
Dominica,DMA,Upper middle income,0.47862037722257017,0.6242096350393852,0.42907297207474715,0.4568011554854639
Dominican Republic,DOM,Upper middle income,0.45873698988107336,0.5116106355388913,0.4829822696395273,0.472377119817234
Ecuador,ECU,Upper middle income,0.5046900494545735,0.5013952286500911,0.3915715349817823,0.506223012378636
"Egypt, Arab Rep.",EGY,Lower middle income,0.3884972913846048,0.4871864880880389,0.3782161002039455,0.40719888757406625
El Salvador,SLV,Upper middle income,0.5157270405691625,0.34716357776894674,0.42776421426175004,0.40932308959965963
Equatorial Guinea,GNQ,Upper middle income,0.3574652533123417,0.2790014866460797,0.35136232095062087,0.5151638780619273
Eritrea,ERI,Low income,0.359384179032483,0.07574241411641368,0.44920934387147105,0.20651037717240295
Estonia,EST,High income,0.5413747787647037,0.8185427606269384,0.42987571465700575,0.5990629483118726
Eswatini,SWZ,Lower middle income,0.4080227149354671,0.2992873111605112,0.4116763645940618,0.29938555508111203
Ethiopia,ETH,Middle income,0.5139549847165752,0.1454584176647128,0.3822035362134556,0.3416971745498203
Faroe Islands,FRO,High income,0.5683913959092327,0.7903633557192786,0.4210809965985444,0.6431057521013365
Fiji,FJI,Upper middle income,0.5797878886687998,0.37327769387110404,0.42715948176752794,0.44866954586606567
Finland,FIN,High income,0.5871987016581399,0.8589665402731926,0.4161586311706489,0.6434836076793129
France,FRA,High income,0.6012633894532285,0.8269065594610105,0.4205226104729145,0.64685046905993
French Polynesia,PYF,High income,0.5714621160966563,0.6631236201195324,0.42001901437275435,0.5090948956558777
Gabon,GAB,Upper middle income,0.40115088118686787,0.3666664757389345,0.4135866638329574,0.46596874391150395
"Gambia, The",GMB,Low income,0.34433309158531644,0.1609255055517856,0.5356673290770843,0.2098943532495519
Georgia,GEO,Upper middle income,0.5254154289431993,0.5788907720453986,0.46395305428715594,0.5161618532418624
Germany,DEU,High income,0.5330921720358633,0.876931121608146,0.4056205872239057,0.6557166568326169
Ghana,GHA,Lower middle income,0.3062101862435855,0.28374343976909056,0.3910108353262014,0.2865647725819157
Gibraltar,GIB,High income,0.5683913959092327,0.8252344695689864,0.42813362140505873,0.6431057521013365
Greece,GRC,High income,0.4762225406371056,0.7616123468874325,0.3899494287178177,0.6808016109816243
Greenland,GRL,High income,0.5683913959092327,0.6488387980500285,0.49595712467649783,0.49354349521368596
Grenada,GRD,Upper middle income,0.5094864943303954,0.5256712297129177,0.44604920282707883,0.5219173015006261
Guam,GUM,High income,0.5683913959092327,0.5175249820356531,0.4363639441035748,0.6431057521013365
Guatemala,GTM,Upper middle income,0.4688598843050922,0.24176251511892466,0.4119617279568465,0.4120973639088771
Guinea,GIN,Lower middle income,0.36720975890059443,0.13873770545549363,0.5126901181536392,0.2312968016359818
Guinea-Bissau,GNB,Low income,0.3580283481367477,0.12655522851098322,0.4460122131807498,0.23693520038070398
Guyana,GUY,High income,0.4623043796180835,0.5742683126813761,0.5959718328474886,0.49185279284765593
Haiti,HTI,Lower middle income,0.32087202530969217,0.1691961365727348,0.3389282521344878,0.3427140224831835
Honduras,HND,Lower middle income,0.5169107430124363,0.2541086568811972,0.46663784057280183,0.35174213434341894
"Hong Kong SAR, China",HKG,High income,0.8587630832203473,0.8167001027555887,0.38836621534723154,0.8864864450710139
Hungary,HUN,High income,0.408958823846385,0.7958953399913511,0.42436500384017906,0.6305469874310048
Iceland,ISL,High income,0.5892596856997239,0.8624308643360202,0.45593795560359307,0.697356395535254
India,IND,Lower middle income,0.527710793521266,0.42625710724469806,0.4913146291889172,0.4912996835288138
Indonesia,IDN,Upper middle income,0.47618149521324193,0.4147743978631553,0.4907352259786346,0.4846390002726876
"Iran, Islamic Rep.",IRN,Upper middle income,0.4958101356342277,0.5903194985164871,0.49838052005505684,0.42591251497538696
Iraq,IRQ,Upper middle income,0.3998773530646493,0.37421276463437125,0.2571072752863348,0.5306894661432147
Ireland,IRL,High income,0.4119258975123749,0.8219187006585547,0.39799236265159965,0.7985946234869592
Isle of Man,IMN,High income,0.5683913959092327,0.7647082301342256,0.4042854929515371,0.6431057521013365
Israel,ISR,High income,0.5402764249930477,0.7890481372557396,0.4162668439507551,0.6655613042959525
Italy,ITA,High income,0.5441822414191987,0.7501466686767663,0.41759694622411364,0.6022842999695892
Jamaica,JAM,Upper middle income,0.49567116343663303,0.5314086855115807,0.43454502866587064,0.36201491234034144
Japan,JPN,High income,0.7040446239775012,0.8020286282450854,0.4381049953664701,0.6304486003311666
Jordan,JOR,Lower middle income,0.5411363030881672,0.5364439019487277,0.4343263668192129,0.369244763083935
Kazakhstan,KAZ,Upper middle income,0.44711632029020043,0.5494149996561163,0.4630070997081849,0.6340501127136209
Kenya,KEN,Lower middle income,0.397693397715762,0.32784581704320515,0.44221453323627147,0.28110778616494914
Kiribati,KIR,Lower middle income,0.4532031653710227,0.3225179234661707,0.4563603644166089,0.26989391257652645
"Korea, Dem. People's Rep.",PRK,Low income,0.359384179032483,0.12078029739718016,0.44920934387147105,0.2790073606573712
"Korea, Rep.",KOR,High income,0.6466560065295947,0.8709543650796925,0.46671842950615805,0.755104059093364
Kosovo,XKX,Upper middle income,0.516026262874676,0.610582522610086,0.4949340785532194,0.5193764771084587
Kuwait,KWT,High income,0.5854928312048903,0.39809742953939814,0.38711062103001753,0.5240335703323548
Kyrgyz Republic,KGZ,Lower middle income,0.4141205731613052,0.4412668057175148,0.5009636222996112,0.4596504064111414
Lao PDR,LAO,Lower middle income,0.45515445314987685,0.32680513293750957,0.4976313043659826,0.3496973350142698
Latvia,LVA,High income,0.4852097125588039,0.7100728598239758,0.416209098285119,0.6262107111386185
Lebanon,LBN,Lower middle income,0.5705402177275677,0.41933629360600355,0.3489428240826882,0.43726820203244077
Lesotho,LSO,Lower middle income,0.41886302347611987,0.17837479813732762,0.48360338693781785,0.17730507963559797
Liberia,LBR,Low income,0.3697916289521009,0.1310574744101609,0.4676620904349596,0.17447453285337944
Libya,LBY,Upper middle income,0.39760792706103487,0.44237050183030513,0.3824662050909969,0.4009852210167928
Liechtenstein,LIE,High income,0.4010769778583915,0.9121713160111231,0.42813362140505873,0.6070720324523519
Lithuania,LTU,High income,0.5017203387234045,0.7412610372780392,0.42513007141921,0.6054353789647486
Luxembourg,LUX,High income,0.6444872058075788,0.8111875778975017,0.37852418981742025,0.5241038589812841
"Macao SAR, China",MAC,High income,0.6259616990307609,0.6156082352464745,0.40058718604546323,0.6367483400355627
Madagascar,MDG,Low income,0.373094868524343,0.06205336825219025,0.6157804859495067,0.1612148499231743
Malawi,MWI,Low income,0.33116609111714407,0.11409613778428655,0.45888014208037514,0.19367620933506946
Malaysia,MYS,Upper middle income,0.6223266886242264,0.6788587171578009,0.42935239793052904,0.6846273844498202
Maldives,MDV,Upper middle income,0.47253216471390136,0.5615073717258467,0.5190411911672097,0.37194744949043684
Mali,MLI,Low income,0.3592117723986119,0.1409403699939118,0.4311980825628552,0.3034883826672945
Malta,MLT,High income,0.6311119050095287,0.7121895566656167,0.41867309528855645,0.7199135511852262
Marshall Islands,MHL,Upper middle income,0.4957280442209639,0.34936619723412027,0.44333852451504996,0.4943204828650932
Mauritania,MRT,Lower middle income,0.41872383629052745,0.1389763558973488,0.49978810945796787,0.2763317456145749
Mauritius,MUS,Upper middle income,0.5413481060378902,0.5135909115832484,0.43762212492578556,0.41696831312328
Mexico,MEX,Upper middle income,0.4472883360301934,0.5034195890396919,0.44725383072568925,0.5820520645214922
"Micronesia, Fed. Sts.",FSM,Lower middle income,0.414402469213261,0.27874154920211447,0.45486274481107764,0.3853313301796758
Moldova,MDA,Upper middle income,0.45172327762757686,0.5572724178622426,0.4080828188755244,0.4329088537131353
Monaco,MCO,High income,0.5683913959092327,0.8670470777613557,0.4488978975350811,0.6526676260384835
Mongolia,MNG,Upper middle income,0.49164045319395844,0.47555408625119167,0.46916436397651073,0.5582964310326258
Montenegro,MNE,Upper middle income,0.4894003686410962,0.6273465522184217,0.4216790026213499,0.5320256101946033
Morocco,MAR,Lower middle income,0.536671133145958,0.47819574940129195,0.4536208109597356,0.4233946204903544
Mozambique,MOZ,Low income,0.38452377974034374,0.1302453597967287,0.44793974053312585,0.1954044083030516
Myanmar,MMR,Lower middle income,0.42894916461749344,0.1555193818726252,0.4489002361593064,0.24786641902369505
Namibia,NAM,Lower middle income,0.4736223002874294,0.38602674788463953,0.4560440216032285,0.2719186146236683
Nauru,NRU,High income,0.5702866529801094,0.5837978844319913,0.42300226184332296,0.6431057521013365
Nepal,NPL,Lower middle income,0.5321220250577539,0.3412271765401561,0.4482661861195346,0.29169370386077126
Netherlands,NLD,High income,0.5929127329875131,0.8766719979384799,0.40974253953676376,0.6986874257811043
New Caledonia,NCL,High income,0.5763703861977474,0.6679083357929496,0.3689095013770019,0.6431057521013365
New Zealand,NZL,High income,0.5911554933344422,0.7837226752197836,0.42556725379679966,0.6099572517689624
Nicaragua,NIC,Lower middle income,0.44038493525577316,0.3208347157467714,0.4412403474668583,0.26082031086129975
Niger,NER,Low income,0.35832998325165305,0.0895586277753933,0.4665583814196988,0.20547386843464344
Nigeria,NGA,Lower middle income,0.3446764248481535,0.19383448518179244,0.47031633147408425,0.30499435607654063
North Macedonia,MKD,Upper middle income,0.5041882209575227,0.6200454308360817,0.4366756269787928,0.4857325798581396
Northern Mariana Islands,MNP,High income,0.5683913959092327,0.7147330705823349,0.4793141390539709,0.6431057521013365
Norway,NOR,High income,0.6141682300819443,0.8481672242590517,0.4352026031096024,0.7139454283599994
Oman,OMN,High income,0.5021555482092164,0.5245892779426385,0.4247961324913602,0.4729152537183443
Pakistan,PAK,Lower middle income,0.33566579450208617,0.23726312394367935,0.37276813304021034,0.30482110499136217
Palau,PLW,High income,0.5914981432978207,0.5858246341130218,0.5041595289298124,0.6543505387053844
Panama,PAN,High income,0.5281527394538067,0.46468248561776515,0.4829787476264183,0.44861990957506226
Papua New Guinea,PNG,Lower middle income,0.3276228708382583,0.0948406184004088,0.4302951565036076,0.3779450773272184
Paraguay,PRY,Upper middle income,0.5076968500694817,0.4415642892245177,0.43098677650866685,0.5392464639224345
Peru,PER,Upper middle income,0.45333435366433256,0.44711041093087556,0.4339250834233314,0.5018640403662391
Philippines,PHL,Lower middle income,0.5029972193540851,0.35369424878238453,0.4575990173251488,0.6277356728149793
Poland,POL,High income,0.42659436818468516,0.7418251614413142,0.4011448004329989,0.6147174212256956
Portugal,PRT,High income,0.5098504042343989,0.7913676064879408,0.4150731208062287,0.5649246834520842
Puerto Rico (US),PRI,High income,0.5683913959092327,0.6665977932310527,0.3799406885925494,0.6597773934526338
Qatar,QAT,High income,0.60778562310747,0.5890491615961773,0.4374758806139,0.5105904530034009
Romania,ROU,High income,0.37359118720518136,0.697281812957685,0.4380930341220849,0.5886088206595641
Russian Federation,RUS,High income,0.4837727415332955,0.7298275091437377,0.45455092285938814,0.5877798317912426
Rwanda,RWA,Low income,0.3936258422605481,0.2657393142765705,0.5162797902077686,0.2853209021226223
Samoa,WSM,Upper middle income,0.5254330641249131,0.3920631677096578,0.46175292245028154,0.49367871004401526
San Marino,SMR,High income,0.5712008118856532,0.8135092103116137,0.3768112971160163,0.6251541139324287
Sao Tome and Principe,STP,Lower middle income,0.347552522229377,0.27295858584070554,0.43882983328917274,0.4788683770848323
Saudi Arabia,SAU,High income,0.5747746551756006,0.6968461848155131,0.46160622489773884,0.5319368702787435
Senegal,SEN,Lower middle income,0.4552505756432936,0.29322131071789026,0.5103549226258213,0.28034682609169354
Serbia,SRB,Upper middle income,0.4619913658656445,0.7051253879543191,0.45032525202030826,0.5239736183911708
Seychelles,SYC,High income,0.4336255791276475,0.6448261052130605,0.4176325041704645,0.3101909935793598
Sierra Leone,SLE,Low income,0.3015115659563839,0.11044789368589591,0.46358830989960376,0.19343225327425262
Singapore,SGP,High income,0.6539934770656745,0.8140728782530431,0.41869613008150086,0.8700470581661954
Sint Maarten (Dutch part),SXM,High income,0.5725426206272757,0.711602712983169,0.42834252537565093,0.5184482489233461
Slovak Republic,SVK,High income,0.5443461675371828,0.7445759120695643,0.4149497161349388,0.5851261267693845
Slovenia,SVN,High income,0.4170177429653614,0.80469600640683,0.4154318303637664,0.5583989657445967
Solomon Islands,SLB,Lower middle income,0.44080853306251827,0.16922551317256115,0.4240556578502841,0.2313065678962972
"Somalia, Fed. Rep.",SOM,Low income,0.31589510275066474,0.13542371933309852,0.49404471455032295,0.24712188561631848
South Africa,ZAF,Upper middle income,0.6361770433474367,0.5228597288207583,0.3914412880116742,0.43862312163434347
South Sudan,SSD,Low income,0.3244862945569694,0.08080496870100837,0.4409293005770821,0.23937087883905772
Spain,ESP,High income,0.5298950283210814,0.8031870538874948,0.41965828802273314,0.6012578422974324
Sri Lanka,LKA,Lower middle income,0.4497176769341021,0.3058542074378799,0.41865054556950515,0.3193605240049442
St. Kitts and Nevis,KNA,High income,0.5515882046083463,0.7310502857834809,0.4163640136537639,0.6610783692183562
St. Lucia,LCA,Upper middle income,0.4993653774792893,0.4607189556569696,0.43304834874055553,0.41880536867822116
St. Martin (French part),MAF,High income,0.5683913959092327,0.7242844679989058,0.4356354751026979,0.6431057521013365
St. Vincent and the Grenadines,VCT,Upper middle income,0.47500395709601345,0.5274747661054211,0.43812500338074745,0.4321940459563892
Sudan,SDN,Low income,0.31530300972881115,0.07941956972301048,0.35392126814158525,0.22704208375876228
Suriname,SUR,Upper middle income,0.412530502870154,0.5753908604682262,0.4417616162572008,0.33581915365404913
Sweden,SWE,High income,0.6225746452381883,0.8629346511572237,0.4388442196985231,0.6748708056149066
Switzerland,CHE,High income,0.6987769378779977,0.9002095807009911,0.4334446621128736,0.6579015561409347
Syrian Arab Republic,SYR,Low income,0.359384179032483,0.20293014399919218,0.34960777924889885,0.3490218966538908
Tajikistan,TJK,Lower middle income,0.3727188924114551,0.2110259273387065,0.5430491758384633,0.37969937597892045
Tanzania,TZA,Lower middle income,0.34167411378661106,0.16818351132335818,0.5745552103449263,0.2074892585636052
Thailand,THA,Upper middle income,0.6457721222246292,0.6305810386438615,0.42654434906189354,0.5957490150660039
Timor-Leste,TLS,Lower middle income,0.4495729915643143,0.1989602992831082,0.44327506122405114,0.2919849409457069
Togo,TGO,Low income,0.35782870408573525,0.20275949341077146,0.47383260278363376,0.20631266545660126
Tonga,TON,Upper middle income,0.4638522886604171,0.4338174167776608,0.446152938230591,0.5144233947600491
Trinidad and Tobago,TTO,High income,0.5229294973478221,0.46194612135193736,0.41622109006782326,0.32456772788548494
Tunisia,TUN,Lower middle income,0.46432549878884477,0.5324693769214286,0.39132890283104627,0.46183706152122883
Turkiye,TUR,Upper middle income,0.45773417433386904,0.7108398668442921,0.5341224084953113,0.5532481654958716
Turkmenistan,TKM,Upper middle income,0.494925017688086,0.19237288136846825,0.4288929182882313,0.48035583184736635
Turks and Caicos Islands,TCA,High income,0.5727845854193263,0.7050065954416831,0.4383248128154051,0.5677310848112682
Tuvalu,TUV,Upper middle income,0.4934368978271278,0.30080862389775953,0.44887196815244146,0.45559313202428353
Uganda,UGA,Low income,0.3653258860563373,0.16931260290745043,0.47447648791725605,0.2275083360061022
Ukraine,UKR,Upper middle income,0.30953353072356826,0.577280335334967,0.4257914878248433,0.5138893921958925
United Arab Emirates,ARE,High income,0.5956388403580922,0.7906976119751874,0.4306784822865919,0.6167669244744505
United Kingdom,GBR,High income,0.6123203778398482,0.8565169772816913,0.4028513014079821,0.675245402279959
United States,USA,High income,0.725887057323841,0.8754048383330557,0.41813114852440686,0.7227381295272929
Uruguay,URY,High income,0.48566256377078293,0.682702063216412,0.405461978131757,0.5629663587741525
Uzbekistan,UZB,Lower middle income,0.41376879188589527,0.5434377589951896,0.5582349950537795,0.3948173656478616
Vanuatu,VUT,Lower middle income,0.48474421615620883,0.31512799964213645,0.5474747367964559,0.3500513155584696
"Venezuela, RB",VEN,Middle income,0.5132659660477842,0.4321470176944237,0.36331869563738806,0.3416971745498203
Viet Nam,VNM,Lower middle income,0.5861633199911634,0.5883221394051403,0.49823193524747567,0.6142994904266965
Virgin Islands (U.S.),VIR,High income,0.5683913959092327,0.5563090097435621,0.41370418360986866,0.6441331384183682
West Bank and Gaza,PSE,Lower middle income,0.5032314236736325,0.45851577461280124,0.3635244766307852,0.37240217977528534
"Yemen, Rep.",YEM,Low income,0.35697372397481725,0.13369738277548868,0.3636956771470973,0.23027374501805115
Zambia,ZMB,Lower middle income,0.3990601457210137,0.16976341209806595,0.4333169170342503,0.25982198266214834
Zimbabwe,ZWE,Lower middle income,0.3400551640714247,0.22903000732960874,0.33287558190571553,0.2412721537111378
